title,artist,date,Medium and Support,Object Type,Dimensions,description,Donor,Photographer,Publisher (Digital),Place of Creation,Classification,Coverage,Audience,Format,Digital Collection,Accession Number,File Name,Language,rights,Type,Valuation,Valuation Date,Valuation Source,format,object_thumb,object_download,reference_url
"Admirer","McNeil, George","1983","","","","","","","","","","","","","","2001.5.0","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/45","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/45/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0045.html"
"Thursday August 1st 1968 Fresno #2","Saroyan, William","1968","","","","","","","","","","","","","","2007.1.1","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/46","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/46/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0046.html"
"Red Badge of Course #10","Rollins, Tim; K.O.S.","1987","","","","","","","","","","","","","","2003.10.3","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/47","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/47/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0047.html"
"Cover II","Nickson, Graham","1981","","","","","","","","","","","","","","2010.2.2","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/48","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/48/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0048.html"
"H-1957","McLaughlin, John","1957","","","","","","","","","","","","","","1000.1.2","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/49","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/49/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0049.html"
"Haku Mele","Butterfield, Deborah","1991","","","","","","","","","","","","","","2011.5.3","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/50","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/50/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0050.html"
"Untitled","Basquiat, Jean-Michael","1982","","","","","","","","","","","","","","2011.5.2","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/51","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/51/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0051.html"
"Untitled","Corse, Mary","1976","","","","","","","","","","","","","","1995.2.0","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/52","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/52/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0052.html"
"Phil (BAM)","Close, Chuck","1991","","","","","","","","","","","","","","2011.5.4","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/53","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/53/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0053.html"
"Briar Hopper","Arnoldi, Charles","1991","","","","","","","","","","","","","","1993.2.0","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/54","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/54/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0054.html"
"Cat Face Woman","Murrill, Gywnn","1987","","","","","","","","","","","","","","2011.5.18","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/55","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/55/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0055.html"
"Neighbourhood Ridge","Thiebaud, Wayne","1984","","","","","","","","","","","","","","2006.4.19","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/56","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/56/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0056.html"
"A Lot More of Ann Combing her Hair","Hockney, David","1979","","","","","","","","","","","","","","2011.5.11","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/57","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/57/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0057.html"
"The Only Way Out Is In","Warhol, Andy","1984","","","","","","","","","","","","","","2003.1.6","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/58","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/58/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0058.html"
"100 Breaths, #75 and 100 Breaths, #106","Alberquerque, Lita","1989","","","","","","","","","","","","","","2007.2.1 and 2007.2.2","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/59","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/59/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0059.html"
"Untitled (MELBK 84)","Bell, Larry","1984","","","","","","","","","","","","","","2002.4.0","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","","","","image/jpeg","https://cdm15730.contentdm.oclc.org/utils/getthumbnail/collection/p15730coll35/id/60","https://cdm15730.contentdm.oclc.org/digital/iiif/p15730coll35/60/full/max/0/default.jpg","https://pepperdine-university-libraries.github.io/weisman-museum/items/coll0060.html"
